2025-07-31 10:55:25,610 - TransformerTrainer - INFO - Epoch 24 - Train Loss: 0.6067 - Val Loss: 1.7261 - Time: 136.75s - Blue_score: 9.70 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:57:42,297 - TransformerTrainer - INFO - Epoch 25 - Train Loss: 0.5655 - Val Loss: 1.7631 - Time: 136.68s - Blue_score: 9.82 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:59:59,552 - TransformerTrainer - INFO - Epoch 26 - Train Loss: 0.5251 - Val Loss: 1.7875 - Time: 137.25s - Blue_score: 12.24 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:02:16,345 - TransformerTrainer - INFO - Epoch 27 - Train Loss: 0.4886 - Val Loss: 1.8154 - Time: 136.79s - Blue_score: 10.03 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:04:32,955 - TransformerTrainer - INFO - Epoch 28 - Train Loss: 0.4520 - Val Loss: 1.8439 - Time: 136.61s - Blue_score: 11.09 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:06:49,374 - TransformerTrainer - INFO - Epoch 29 - Train Loss: 0.4206 - Val Loss: 1.8712 - Time: 136.42s - Blue_score: 11.35 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:09:05,646 - TransformerTrainer - INFO - Epoch 30 - Train Loss: 0.3894 - Val Loss: 1.9135 - Time: 136.27s - Blue_score: 9.96 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:11:22,046 - TransformerTrainer - INFO - Epoch 31 - Train Loss: 0.3601 - Val Loss: 1.9370 - Time: 136.40s - Blue_score: 10.14 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:13:38,696 - TransformerTrainer - INFO - Epoch 32 - Train Loss: 0.3346 - Val Loss: 1.9517 - Time: 136.65s - Blue_score: 10.47 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:15:55,773 - TransformerTrainer - INFO - Epoch 33 - Train Loss: 0.3101 - Val Loss: 1.9833 - Time: 137.08s - Blue_score: 10.63 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:18:12,147 - TransformerTrainer - INFO - Epoch 34 - Train Loss: 0.2887 - Val Loss: 2.0276 - Time: 136.37s - Blue_score: 10.37 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:20:28,514 - TransformerTrainer - INFO - Epoch 35 - Train Loss: 0.2674 - Val Loss: 2.0465 - Time: 136.37s - Blue_score: 10.34 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:22:44,887 - TransformerTrainer - INFO - Epoch 36 - Train Loss: 0.2495 - Val Loss: 2.0707 - Time: 136.37s - Blue_score: 10.10 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:30:22,097 - TransformerTrainer - INFO - Epoch 0 - Train Loss: 10.2741 - Val Loss: 9.3162 - Time: 224.89s - Blue_score: 0.00 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 17754.00MB
2025-07-31 11:32:38,363 - TransformerTrainer - INFO - Epoch 1 - Train Loss: 7.9134 - Val Loss: 6.3302 - Time: 131.68s - Blue_score: 0.00 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19418.00MB
2025-07-31 11:34:54,677 - TransformerTrainer - INFO - Epoch 2 - Train Loss: 5.4786 - Val Loss: 4.8715 - Time: 131.67s - Blue_score: 0.00 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19386.00MB
2025-07-31 11:37:10,998 - TransformerTrainer - INFO - Epoch 3 - Train Loss: 4.4612 - Val Loss: 3.9905 - Time: 131.58s - Blue_score: 0.98 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:39:28,003 - TransformerTrainer - INFO - Epoch 4 - Train Loss: 3.7806 - Val Loss: 3.4804 - Time: 132.34s - Blue_score: 8.03 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
